No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
2497,P3,DPBOM000001680,재마킹,F4,D6,,D3,2014-06-01,2014-05-26
2498,P3,DPBOM000001682,가공,F4,D7,,D3,2014-05-26,2014-05-18
2499,P3,DPBOM000000469,의장,F1,D8,,D1,2014-05-26,2014-05-18
2500,P3,DPBOM000001683,공작,F2,D4,,D3,2014-06-01,2014-06-01
2501,P3,DPBOM000000470,철의장,F2,D5,,D3,2014-03-26,2014-03-18
2502,P3,DPBOM000001684,가공,F2,D2,,D3,2014-05-08,2014-05-08
2503,P3,DPBOM000001685,가공,F2,D2,,D3,2014-05-12,2014-05-12
2504,P3,DPBOM000001686,가공,F2,D2,,D3,2014-05-14,2014-05-14
2505,P3,DPBOM000001687,도장,F1,D1,,D1,2014-08-11,2014-07-21
2506,P3,DPBOM000001688,가공,F2,D2,,D3,2014-05-12,2014-05-12
2507,P3,DPBOM000001689,족장,F3,D3,D6,D4,2014-05-20,2014-05-22
2508,P3,DPBOM000001690,재마킹,F4,D6,,D3,2014-05-20,2014-05-15
2509,P3,DPBOM000001691,의장,F1,D8,,D1,2014-05-14,2014-04-23
2510,P3,DPBOM000001692,공작,F2,D4,,D3,2014-05-26,2014-05-26
2511,P3,DPBOM000001693,철의장,F2,D5,,D3,2014-03-18,2014-03-18
2512,P3,DPBOM000001694,가공,F2,D2,,D3,2014-04-21,2014-04-21
2513,P3,DPBOM000001696,가공,F4,D7,,D3,2014-04-21,2014-04-15
2514,P3,DPBOM000001697,가공,F2,D2,,D3,2014-04-21,2014-04-21
2515,P3,DPBOM000001699,가공,F4,D7,,D3,2014-04-21,2014-04-15
2516,P3,DPBOM000001700,도장,F1,D1,,D1,2014-08-11,2014-07-21
2517,P3,DPBOM000001701,가공,F2,D2,,D3,2014-05-15,2014-05-15
2518,P3,DPBOM000001702,족장,F3,D3,D6,D4,2014-05-21,2014-05-22
2519,P3,DPBOM000001703,재마킹,F4,D6,,D3,2014-05-21,2014-05-15
2520,P3,DPBOM000001704,의장,F1,D8,,D1,2014-05-15,2014-04-23
2521,P3,DPBOM000001705,공작,F2,D4,,D3,2014-05-26,2014-05-26
2522,P3,DPBOM000001706,철의장,F2,D5,,D3,2014-03-18,2014-03-18
2523,P3,DPBOM000001707,가공,F2,D2,,D3,2014-04-22,2014-04-22
2524,P3,DPBOM000001709,가공,F4,D7,,D3,2014-04-22,2014-04-15
2525,P3,DPBOM000001710,가공,F2,D2,,D3,2014-04-23,2014-04-23
2526,P3,DPBOM000001712,가공,F4,D7,,D3,2014-04-23,2014-04-15
2527,P3,DPBOM000001153,도장,F1,D1,,D1,2014-07-27,2014-07-24
2528,P3,DPBOM000001713,족장,F3,D3,D6,D4,2014-07-29,2014-07-29
2529,P3,DPBOM000000577,철의장,F7,D5,,D3,2014-06-04,2014-06-03
2530,P3,DPBOM000001714,도장,F1,D1,,D1,2014-07-27,2014-07-24
2531,P3,DPBOM000001715,족장,F3,D3,D6,D4,2014-07-30,2014-07-29
2532,P3,DPBOM000001163,도장,F1,D1,,D1,2014-07-27,2014-07-24
2533,P3,DPBOM000001716,도장,F1,D1,,D1,2014-07-27,2014-07-24
2534,P3,DPBOM000001717,도장,F1,D1,,D1,2014-07-27,2014-07-24
2535,P3,DPBOM000001169,도장,F1,D1,,D1,2014-07-27,2014-07-24
2536,P3,DPBOM000001718,도장,F1,D1,,D1,2014-07-27,2014-07-24
2537,P3,DPBOM000001174,도장,F1,D1,,D1,2014-07-27,2014-07-24
2538,P3,DPBOM000001175,도장,F1,D1,,D1,2014-07-27,2014-07-24
2539,P3,DPBOM000001176,도장,F1,D1,,D1,2014-07-27,2014-07-24
2540,P3,DPBOM000001181,도장,F1,D1,,D1,2014-07-27,2014-07-24
2541,P3,DPBOM000001719,도장,F1,D1,,D1,2014-07-27,2014-07-24
2542,P3,DPBOM000001720,도장,F1,D1,,D1,2014-07-27,2014-07-24
2543,P3,DPBOM000001721,도장,F1,D1,,D1,2014-07-27,2014-07-24
2544,P3,DPBOM000001722,도장,F1,D1,,D1,2014-07-27,2014-07-24
2545,P3,DPBOM000001189,도장,F1,D1,,D1,2014-07-27,2014-07-24
2546,P3,DPBOM000001723,도장,F1,D1,,D1,2014-08-20,2014-07-21
2547,P3,DPBOM000001724,가공,F6,D2,,D3,2014-06-02,2014-06-02
2548,P3,DPBOM000001725,공작,F6,D4,,D3,2014-06-30,2014-06-30
2549,P3,DPBOM000001726,도장,F1,D1,,D1,2014-08-20,2014-07-21
2550,P3,DPBOM000001727,가공,F6,D2,,D3,2014-06-02,2014-06-02
2551,P3,DPBOM000001728,공작,F6,D4,,D3,2014-06-30,2014-06-30
2552,P3,DPBOM000001729,도장,F1,D1,,D1,2014-08-18,2014-07-21
2553,P3,DPBOM000001730,가공,F6,D2,,D3,2014-06-02,2014-06-02
2554,P3,DPBOM000001731,공작,F6,D4,,D3,2014-06-30,2014-06-30
2555,P3,DPBOM000001732,도장,F1,D1,,D1,2014-08-18,2014-07-21
2556,P3,DPBOM000001733,가공,F6,D2,,D3,2014-06-02,2014-06-02
2557,P3,DPBOM000001734,공작,F6,D4,,D3,2014-06-30,2014-06-30
2558,P3,DPBOM000001735,도장,F1,D1,,D1,2014-08-17,2014-07-21
2559,P3,DPBOM000001736,가공,F6,D2,,D3,2014-06-02,2014-06-02
2560,P3,DPBOM000001737,공작,F6,D4,,D3,2014-06-30,2014-06-30
2561,P3,DPBOM000001738,도장,F1,D1,,D1,2014-08-17,2014-07-21
2562,P3,DPBOM000001739,가공,F6,D2,,D3,2014-06-02,2014-06-02
2563,P3,DPBOM000001740,공작,F6,D4,,D3,2014-06-30,2014-06-30
2564,P3,DPBOM000001741,도장,F1,D1,,D1,2014-08-06,2014-07-21
2565,P3,DPBOM000001742,가공,F6,D2,,D3,2014-06-02,2014-06-02
2566,P3,DPBOM000001743,공작,F6,D4,,D3,2014-06-30,2014-06-30
2567,P3,DPBOM000001744,도장,F1,D1,,D1,2014-08-06,2014-07-21
2568,P3,DPBOM000001745,가공,F6,D2,,D3,2014-06-02,2014-06-02
2569,P3,DPBOM000001746,공작,F6,D4,,D3,2014-06-30,2014-06-30
2570,P3,DPBOM000001747,도장,F1,D1,,D1,2014-07-31,2014-07-21
2571,P3,DPBOM000001748,가공,F6,D2,,D3,2014-05-05,2014-05-05
2572,P3,DPBOM000001749,공작,F6,D4,,D3,2014-05-27,2014-05-27
2573,P3,DPBOM000001750,도장,F1,D1,,D1,2014-07-31,2014-07-21
2574,P3,DPBOM000001751,가공,F6,D2,,D3,2014-05-05,2014-05-05
2575,P3,DPBOM000001752,공작,F6,D4,,D3,2014-05-27,2014-05-27
2576,P3,DPBOM000001753,도장,F1,D1,,D1,2014-08-10,2014-07-21
2577,P3,DPBOM000001754,가공,F6,D2,,D3,2014-06-02,2014-06-02
2578,P3,DPBOM000001755,공작,F6,D4,,D3,2014-06-30,2014-06-30
2579,P3,DPBOM000001756,도장,F1,D1,,D1,2014-08-10,2014-07-21
2580,P3,DPBOM000001757,가공,F6,D2,,D3,2014-06-02,2014-06-02
2581,P3,DPBOM000001758,공작,F6,D4,,D3,2014-06-30,2014-06-30
2582,P3,DPBOM000001759,도장,F1,D1,,D1,2014-08-04,2014-07-21
2583,P3,DPBOM000001760,가공,F6,D2,,D3,2014-05-05,2014-05-05
2584,P3,DPBOM000001761,공작,F6,D4,,D3,2014-05-27,2014-05-27
