프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
P3,DPBOM000000921,재마킹,F4,D6,,D3,2014-06-02,2014-05-25
P3,DPBOM000000923,가공,F4,D7,,D3,2014-05-12,2014-04-24
P3,DPBOM000000270,공작,F2,D4,,D3,2014-06-02,2014-06-02
P3,DPBOM000000271,철의장,F2,D5,,D3,2014-04-13,2014-04-10
P3,DPBOM000000272,가공,F2,D2,,D3,2014-05-12,2014-05-12
P3,DPBOM000001413,도장,F1,D1,,D1,2014-08-28,2014-07-21
P3,DPBOM000000279,가공,F2,D2,,D3,2014-07-28,2014-07-27
P3,DPBOM000000280,족장,F3,D3,D6,D4,2014-08-04,2014-07-06
P3,DPBOM000001414,재마킹,F4,D6,,D3,2014-08-04,2014-07-22
P3,DPBOM000001416,가공,F4,D7,,D3,2014-07-28,2014-07-22
P3,DPBOM000000281,공작,F2,D4,,D3,2014-08-04,2014-07-31
P3,DPBOM000001417,철의장,F5,D5,,D3,2014-06-16,2014-03-13
P3,DPBOM000001418,철의장,F5,D5,,D3,2014-06-16,2014-03-13
P3,DPBOM000001419,철의장,F5,D5,,D3,2014-06-16,2014-03-13
P3,DPBOM000000282,철의장,F2,D5,,D3,2014-06-12,2014-06-03
P3,DPBOM000001420,가공,F2,D2,,D3,2014-07-14,2014-07-14
P3,DPBOM000001421,도장,F1,D1,,D1,2014-07-24,2014-07-21
P3,DPBOM000001422,가공,F2,D2,,D3,2014-07-01,2014-06-30
P3,DPBOM000001423,족장,F3,D3,D6,D4,2014-06-22,2014-06-16
P3,DPBOM000001424,재마킹,F4,D6,,D3,2014-06-22,2014-06-05
P3,DPBOM000001425,의장,F1,D8,,D1,2014-06-16,2014-05-29
P3,DPBOM000001426,공작,F2,D4,,D3,2014-06-22,2014-06-19
P3,DPBOM000001427,철의장,F2,D5,,D3,2014-04-17,2014-04-15
P3,DPBOM000001428,가공,F2,D2,,D3,2014-06-16,2014-06-16
P3,DPBOM000001430,가공,F4,D7,,D3,2014-06-16,2014-06-03
P3,DPBOM000001431,가공,F2,D2,,D3,2014-05-26,2014-05-25
P3,DPBOM000000930,도장,F1,D1,,D1,2014-07-29,2014-07-21
P3,DPBOM000000283,가공,F2,D2,,D3,2014-06-05,2014-06-04
P3,DPBOM000000284,족장,F3,D3,D6,D4,2014-06-17,2014-06-16
P3,DPBOM000000931,재마킹,F4,D6,,D3,2014-06-17,2014-06-03
P3,DPBOM000000932,의장,F1,D8,,D1,2014-06-05,2014-05-29
P3,DPBOM000000285,공작,F2,D4,,D3,2014-06-17,2014-06-17
P3,DPBOM000000286,철의장,F2,D5,,D3,2014-04-09,2014-04-09
P3,DPBOM000000287,가공,F2,D2,,D3,2014-05-21,2014-05-21
P3,DPBOM000000290,가공,F2,D2,,D3,2014-05-21,2014-05-21
P3,DPBOM000000292,가공,F4,D7,,D3,2014-05-21,2014-05-12
P3,DPBOM000000293,가공,F2,D2,,D3,2014-05-25,2014-05-25
P3,DPBOM000001434,가공,F4,D7,,D3,2014-05-25,2014-05-15
P3,DPBOM000001435,가공,F2,D2,,D3,2014-05-22,2014-05-22
P3,DPBOM000001436,도장,F1,D1,,D1,2014-08-31,2014-07-21
P3,DPBOM000001437,가공,F2,D2,,D3,2014-08-05,2014-08-04
P3,DPBOM000001438,족장,F3,D3,D6,D4,2014-08-11,2014-07-06
P3,DPBOM000001439,재마킹,F4,D6,,D3,2014-08-11,2014-07-13
P3,DPBOM000001440,의장,F1,D8,,D1,2014-08-03,2014-05-29
P3,DPBOM000001441,공작,F2,D4,,D3,2014-08-11,2014-08-07
P3,DPBOM000001442,철의장,F2,D5,,D3,2014-06-19,2014-06-17
P3,DPBOM000001443,가공,F2,D2,,D3,2014-07-21,2014-07-21
P3,DPBOM000001445,가공,F4,D7,,D3,2014-07-21,2014-07-13
P3,DPBOM000000935,도장,F1,D1,,D1,2014-08-28,2014-07-21
P3,DPBOM000000936,가공,F2,D2,,D3,2014-07-30,2014-07-30
P3,DPBOM000000937,족장,F3,D3,D6,D4,2014-07-23,2014-07-06
P3,DPBOM000001446,재마킹,F4,D6,,D3,2014-07-23,2014-07-13
P3,DPBOM000001447,의장,F1,D8,,D1,2014-07-17,2014-05-29
P3,DPBOM000000938,공작,F2,D4,,D3,2014-07-23,2014-07-23
P3,DPBOM000000939,철의장,F2,D5,,D3,2014-05-26,2014-05-22
P3,DPBOM000001448,가공,F2,D2,,D3,2014-07-14,2014-07-13
P3,DPBOM000001450,가공,F4,D7,,D3,2014-07-14,2014-07-06
P3,DPBOM000001451,가공,F2,D2,,D3,2014-07-01,2014-07-01
P3,DPBOM000001452,가공,F2,D2,,D3,2014-07-01,2014-07-01
P3,DPBOM000001453,도장,F1,D1,,D1,2014-08-18,2014-07-21
P3,DPBOM000001454,가공,F2,D2,,D3,2014-07-13,2014-07-13
P3,DPBOM000001455,족장,F3,D3,D6,D4,2014-07-10,2014-07-06
P3,DPBOM000001456,재마킹,F4,D6,,D3,2014-07-10,2014-05-14
P3,DPBOM000001458,가공,F4,D7,,D3,2014-07-13,2014-07-03
P3,DPBOM000001459,의장,F1,D8,,D1,2014-07-06,2014-05-29
P3,DPBOM000001460,공작,F2,D4,,D3,2014-07-10,2014-07-10
P3,DPBOM000001461,철의장,F2,D5,,D3,2014-05-18,2014-05-18
P3,DPBOM000001462,가공,F2,D2,,D3,2014-07-06,2014-07-06
P3,DPBOM000001463,가공,F2,D2,,D3,2014-07-01,2014-07-01
P3,DPBOM000001465,가공,F4,D7,,D3,2014-07-01,2014-06-26
